,support,itemsets,length
168,0.012626622913397062,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9227 (LMRP HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",4
75,0.028820088457697245,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)', '2922 (60VDC Voltage Readout)'})",3
114,0.011413896418889999,"frozenset({'2922 (60VDC Voltage Readout)', '1422 (60VDC Voltage Readout)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",3
109,0.011128549008417749,"frozenset({'9215 (Calc Flexjoint Differential Bearing)', '9227 (LMRP HPHT Pressure - Raw (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",3
161,0.013339991439577686,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9227 (LMRP HPHT Pressure - Raw (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",3
165,0.013482665144813812,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",3
166,0.013125980881723499,"frozenset({'9227 (LMRP HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",3
167,0.013125980881723499,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9227 (LMRP HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))'})",3
133,0.011199885861035812,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)', '1407 (Upper Annular Regulator Pilot Pressure)'})",3
94,0.014624054786702811,"frozenset({'2922 (60VDC Voltage Readout)', '2919 (Wellhead Connector Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)'})",3
93,0.027322014552717933,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)', '2922 (60VDC Voltage Readout)'})",3
88,0.012269938650306749,"frozenset({'2922 (60VDC Voltage Readout)', '1422 (60VDC Voltage Readout)', '1407 (Upper Annular Regulator Pilot Pressure)'})",3
87,0.013125980881723499,"frozenset({'1422 (60VDC Voltage Readout)', '1404 (Manifold Annular Regulator Pilot Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",3
183,0.023969182479668998,"frozenset({'1417 (Pod Supply Pressure)', '1422 (60VDC Voltage Readout)', '1408 (Pod Pressure)'})",3
184,0.013982023113140249,"frozenset({'1408 (Pod Pressure)', '1417 (Pod Supply Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",3
134,0.014909402197175061,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",3
74,0.01918961335425881,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2904 (Manifold Annular Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",3
185,0.011128549008417749,"frozenset({'1408 (Pod Pressure)', '1417 (Pod Supply Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",3
61,0.015052075902411186,"frozenset({'1422 (60VDC Voltage Readout)', '2904 (Manifold Annular Regulator Pilot Pressure)', '2922 (60VDC Voltage Readout)'})",3
73,0.023683835069196746,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2904 (Manifold Annular Regulator Pilot Pressure)', '2922 (60VDC Voltage Readout)'})",3
72,0.014410044228848623,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2922 (60VDC Voltage Readout)', '1422 (60VDC Voltage Readout)'})",3
136,0.011413896418889999,"frozenset({'2939 (Processor Temperature - Remote)', '1422 (60VDC Voltage Readout)'})",2
137,0.033456983877871306,"frozenset({'2939 (Processor Temperature - Remote)', '2922 (60VDC Voltage Readout)'})",2
157,0.014267370523612499,"frozenset({'1409 (Upper Annular Regulator Readback Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
156,0.010914538450563562,"frozenset({'1409 (Upper Annular Regulator Readback Pressure)', '1408 (Pod Pressure)'})",2
194,0.011627906976744186,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2938 (Processor Temperature - Local)'})",2
155,0.013625338850049936,"frozenset({'1409 (Upper Annular Regulator Readback Pressure)', '1419 (Wellhead Connector Regulator Readback Pressure)'})",2
154,0.010415180482237123,"frozenset({'1409 (Upper Annular Regulator Readback Pressure)', '2922 (60VDC Voltage Readout)'})",2
153,0.015694107575973747,"frozenset({'1409 (Upper Annular Regulator Readback Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
152,0.021971750606363246,"frozenset({'1409 (Upper Annular Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)'})",2
151,0.011199885861035812,"frozenset({'1422 (60VDC Voltage Readout)', '6209 (Diverter - Manifold Regulated Pressure (PT4-1))'})",2
150,0.010415180482237123,"frozenset({'2922 (60VDC Voltage Readout)', '6209 (Diverter - Manifold Regulated Pressure (PT4-1))'})",2
149,0.010415180482237123,"frozenset({'9277 (LMRP HPHT Pressure - Corrected (PSI))', '1422 (60VDC Voltage Readout)'})",2
148,0.011128549008417749,"frozenset({'9277 (LMRP HPHT Pressure - Corrected (PSI))', '2922 (60VDC Voltage Readout)'})",2
147,0.012840633471251249,"frozenset({'9427 (LMRP HPHT Pressure - Raw (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",2
158,0.011199885861035812,"frozenset({'1409 (Upper Annular Regulator Readback Pressure)', '1417 (Pod Supply Pressure)'})",2
145,0.012412612355542873,"frozenset({'9227 (LMRP HPHT Pressure - Raw (PSI))', '2922 (60VDC Voltage Readout)'})",2
144,0.012769296618633186,"frozenset({'9227 (LMRP HPHT Pressure - Raw (PSI))', '1422 (60VDC Voltage Readout)'})",2
135,0.01747752889142531,"frozenset({'2939 (Processor Temperature - Remote)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",2
143,0.011271222713653873,"frozenset({'2906 (Manifold Regulator Readback Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",2
142,0.014338707376230561,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '2906 (Manifold Regulator Readback Pressure)'})",2
141,0.017834213154515624,"frozenset({'2906 (Manifold Regulator Readback Pressure)', '2922 (60VDC Voltage Readout)'})",2
140,0.011413896418889999,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2906 (Manifold Regulator Readback Pressure)'})",2
139,0.01576544442859181,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2939 (Processor Temperature - Remote)'})",2
138,0.01861891853331431,"frozenset({'2939 (Processor Temperature - Remote)', '2904 (Manifold Annular Regulator Pilot Pressure)'})",2
146,0.06413183050363817,"frozenset({'9227 (LMRP HPHT Pressure - Raw (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",2
160,0.02061635040662006,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9227 (LMRP HPHT Pressure - Raw (PSI))'})",2
159,0.014695391639320873,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",2
172,0.03980596376087887,"frozenset({'9424 (Stack HPHT Pressure - Raw (PSI))', '9474 (Stack HPHT Pressure - Corrected (PSI))'})",2
182,0.013054644029105436,"frozenset({'2922 (60VDC Voltage Readout)', '1408 (Pod Pressure)'})",2
181,0.01633613924953631,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1408 (Pod Pressure)'})",2
180,0.01776287630189756,"frozenset({'1408 (Pod Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
179,0.02004565558567556,"frozenset({'1408 (Pod Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
178,0.033956341846197745,"frozenset({'1422 (60VDC Voltage Readout)', '1408 (Pod Pressure)'})",2
177,0.06784134683977742,"frozenset({'1417 (Pod Supply Pressure)', '1408 (Pod Pressure)'})",2
176,0.010843201597945499,"frozenset({'9274 (Stack HPHT Pressure - Corrected (PSI))', '9474 (Stack HPHT Pressure - Corrected (PSI))'})",2
175,0.010843201597945499,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9474 (Stack HPHT Pressure - Corrected (PSI))'})",2
174,0.010486517334855186,"frozenset({'9427 (LMRP HPHT Pressure - Raw (PSI))', '9474 (Stack HPHT Pressure - Corrected (PSI))'})",2
186,0.035739763161649306,"frozenset({'1417 (Pod Supply Pressure)', '1422 (60VDC Voltage Readout)'})",2
173,0.016692823512626624,"frozenset({'9474 (Stack HPHT Pressure - Corrected (PSI))', '9477 (LMRP HPHT Pressure - Corrected (PSI))'})",2
171,0.010629191040091312,"frozenset({'9424 (Stack HPHT Pressure - Raw (PSI))', '9477 (LMRP HPHT Pressure - Corrected (PSI))'})",2
193,0.010771864745327436,"frozenset({'2938 (Processor Temperature - Local)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",2
170,0.011841917534598373,"frozenset({'9424 (Stack HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))'})",2
187,0.023541161363960623,"frozenset({'1417 (Pod Supply Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
188,0.019617634469967185,"frozenset({'1417 (Pod Supply Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
169,0.01576544442859181,"frozenset({'9424 (Stack HPHT Pressure - Raw (PSI))', '9427 (LMRP HPHT Pressure - Raw (PSI))'})",2
189,0.013625338850049936,"frozenset({'1417 (Pod Supply Pressure)', '2922 (60VDC Voltage Readout)'})",2
190,0.016764160365244685,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1417 (Pod Supply Pressure)'})",2
191,0.011627906976744186,"frozenset({'9215 (Calc Flexjoint Differential Bearing)', '9217 (Subsea Differential Bearing)'})",2
192,0.026751319731773433,"frozenset({'2938 (Processor Temperature - Local)', '2922 (60VDC Voltage Readout)'})",2
164,0.014196033670994436,"frozenset({'9227 (LMRP HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))'})",2
163,0.020188329290911685,"frozenset({'9274 (Stack HPHT Pressure - Corrected (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",2
162,0.045512911970323866,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))'})",2
59,0.08895705521472393,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '2922 (60VDC Voltage Readout)'})",2
127,0.021115708374946498,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '2922 (60VDC Voltage Readout)'})",2
132,0.013125980881723499,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",2
80,0.05036381794835212,"frozenset({'2922 (60VDC Voltage Readout)', '1422 (60VDC Voltage Readout)'})",2
97,0.058210871736338994,"frozenset({'9427 (LMRP HPHT Pressure - Raw (PSI))', '9477 (LMRP HPHT Pressure - Corrected (PSI))'})",2
96,0.011841917534598373,"frozenset({'9227 (LMRP HPHT Pressure - Raw (PSI))', '9427 (LMRP HPHT Pressure - Raw (PSI))'})",2
95,0.010557854187473249,"frozenset({'9427 (LMRP HPHT Pressure - Raw (PSI))', '2922 (60VDC Voltage Readout)'})",2
92,0.02803538307889856,"frozenset({'2919 (Wellhead Connector Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)'})",2
91,0.054287344842345556,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",2
90,0.08610358111000142,"frozenset({'2919 (Wellhead Connector Regulator Readback Pressure)', '2922 (60VDC Voltage Readout)'})",2
89,0.01976030817520331,"frozenset({'1422 (60VDC Voltage Readout)', '1439 (Processor Temperature - Remote)'})",2
86,0.014695391639320873,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
85,0.014838065344556998,"frozenset({'2919 (Wellhead Connector Regulator Readback Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
84,0.025395919532030246,"frozenset({'2922 (60VDC Voltage Readout)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
83,0.030746183478384932,"frozenset({'1404 (Manifold Annular Regulator Pilot Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
82,0.013482665144813812,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
81,0.06284776715651305,"frozenset({'1422 (60VDC Voltage Readout)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
79,0.015480097018119561,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '2909 (Upper Annular Regulator Readback Pressure)'})",2
131,0.03317163646739906,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
78,0.013625338850049936,"frozenset({'2919 (Wellhead Connector Regulator Readback Pressure)', '2909 (Upper Annular Regulator Readback Pressure)'})",2
77,0.02232843486945356,"frozenset({'2922 (60VDC Voltage Readout)', '2909 (Upper Annular Regulator Readback Pressure)'})",2
76,0.016835497217862747,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2909 (Upper Annular Regulator Readback Pressure)'})",2
71,0.05243258667427593,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",2
70,0.012983307176487373,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
69,0.04544157511770581,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2904 (Manifold Annular Regulator Pilot Pressure)'})",2
68,0.08610358111000142,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2922 (60VDC Voltage Readout)'})",2
67,0.026751319731773433,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '1422 (60VDC Voltage Readout)'})",2
66,0.01576544442859181,"frozenset({'1418 (Wellhead Connector Regulator Pilot Pressure)', '1422 (60VDC Voltage Readout)'})",2
65,0.012555286060778999,"frozenset({'1412 (Lower Annular Regulator Readback Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
64,0.011984591239834499,"frozenset({'1412 (Lower Annular Regulator Readback Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
63,0.011271222713653873,"frozenset({'1412 (Lower Annular Regulator Readback Pressure)', '1419 (Wellhead Connector Regulator Readback Pressure)'})",2
62,0.015836781281209873,"frozenset({'1412 (Lower Annular Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)'})",2
98,0.012269938650306749,"frozenset({'9227 (LMRP HPHT Pressure - Raw (PSI))', '9477 (LMRP HPHT Pressure - Corrected (PSI))'})",2
99,0.011770580681980312,"frozenset({'9277 (LMRP HPHT Pressure - Corrected (PSI))', '9477 (LMRP HPHT Pressure - Corrected (PSI))'})",2
100,0.010129833071764873,"frozenset({'2922 (60VDC Voltage Readout)', '9477 (LMRP HPHT Pressure - Corrected (PSI))'})",2
101,0.023683835069196746,"frozenset({'1406 (Manifold Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)'})",2
130,0.026965330289627623,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
129,0.05871022970466543,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)'})",2
128,0.012412612355542873,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '2904 (Manifold Annular Regulator Pilot Pressure)'})",2
60,0.02860607789984306,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '1422 (60VDC Voltage Readout)'})",2
126,0.012840633471251249,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '1419 (Wellhead Connector Regulator Readback Pressure)'})",2
125,0.010629191040091312,"frozenset({'2918 (Wellhead Connector Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",2
124,0.011485233271508062,"frozenset({'2918 (Wellhead Connector Regulator Pilot Pressure)', '2904 (Manifold Annular Regulator Pilot Pressure)'})",2
123,0.013982023113140249,"frozenset({'2918 (Wellhead Connector Regulator Pilot Pressure)', '2922 (60VDC Voltage Readout)'})",2
122,0.010415180482237123,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2918 (Wellhead Connector Regulator Pilot Pressure)'})",2
121,0.011128549008417749,"frozenset({'1414 (Lower Anuular Regulator Pilot Pressure)', '1408 (Pod Pressure)'})",2
120,0.012769296618633186,"frozenset({'1414 (Lower Anuular Regulator Pilot Pressure)', '1417 (Pod Supply Pressure)'})",2
119,0.013197317734341562,"frozenset({'1414 (Lower Anuular Regulator Pilot Pressure)', '2922 (60VDC Voltage Readout)'})",2
118,0.031673562562419745,"frozenset({'1414 (Lower Anuular Regulator Pilot Pressure)', '1422 (60VDC Voltage Readout)'})",2
117,0.01833357112284206,"frozenset({'1414 (Lower Anuular Regulator Pilot Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
116,0.014838065344556998,"frozenset({'1414 (Lower Anuular Regulator Pilot Pressure)', '1419 (Wellhead Connector Regulator Readback Pressure)'})",2
115,0.018547581680696246,"frozenset({'1414 (Lower Anuular Regulator Pilot Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
113,0.014909402197175061,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
112,0.015266086460265373,"frozenset({'2919 (Wellhead Connector Regulator Readback Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
111,0.06548723070338136,"frozenset({'1422 (60VDC Voltage Readout)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
110,0.026180624910828933,"frozenset({'2922 (60VDC Voltage Readout)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
108,0.011699243829362249,"frozenset({'9215 (Calc Flexjoint Differential Bearing)', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",2
107,0.019260950206876872,"frozenset({'9215 (Calc Flexjoint Differential Bearing)', '9227 (LMRP HPHT Pressure - Raw (PSI))'})",2
106,0.011413896418889999,"frozenset({'1406 (Manifold Regulator Readback Pressure)', '1408 (Pod Pressure)'})",2
105,0.012983307176487373,"frozenset({'1406 (Manifold Regulator Readback Pressure)', '1417 (Pod Supply Pressure)'})",2
104,0.014338707376230561,"frozenset({'1406 (Manifold Regulator Readback Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",2
103,0.016478812954772437,"frozenset({'1406 (Manifold Regulator Readback Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",2
102,0.011984591239834499,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1406 (Manifold Regulator Readback Pressure)'})",2
195,0.02461121415323156,"frozenset({'1438 (Processor Temperature - Local)', '1422 (60VDC Voltage Readout)'})",2
